status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info,classification_clean,quantity_numeric,defect_labeling_error,defect_sterility_breach,defect_container_closure,defect_blister_seal,defect_moisture_ingress,defect_foreign_substance,defect_potency_issues,defect_manufacturing_defect,defect_stability_degradation,defect_documentation_error,defect_cross_contamination,defect_packaging_defect,defect_tablet_defect,primary_defect,packaging_format,dosage_form,days_to_resolution,recall_year,severity_score,estimated_cost_impact,risk_score,risk_level
Terminated,La Vergne,TN,United States,Class II,{},Drugs,92524,The Harvard Drug Group,341 Mason Rd,N/A,37086-3606,Voluntary: Firm initiated,Letter,Nationwide in the U.S.,D-0878-2023,"Tramadol Hydrochloride Tablets, USP 50 mg, Unit Dose 100-Count Tablets Rx only, Manufactured by: Sun Pharmaceutical Industries Ltd. Survey No. 259/15, Dadra-396 191, (U.T. of D & NH), India. Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512, Distributed by: Major Pharmaceuticals Livonia, MI 48152 USA, NDC 0904-7179-61",3876 cartons,Packaging defect: blister packaging inadequately sealed.,2023-06-16,2023-06-26,2024-04-30,20230705,"Lot #: M04343, Exp. 04/2024",,II,3876.0,False,False,False,True,False,False,False,False,False,False,False,True,False,blister_seal,blisters,tablets,319.0,2023,5,219612,13,High
Terminated,Lake Forest,IL,United States,Class II,"{'application_number': ['NDA007513'], 'brand_name': ['LEVOPHED'], 'generic_name': ['NOREPINEPHRINE BITARTRATE'], 'manufacturer_name': ['Hospira, Inc.'], 'product_ndc': ['0409-3375', '0409-1443'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRAVENOUS'], 'substance_name': ['NOREPINEPHRINE BITARTRATE'], 'rxcui': ['209217', '242969'], 'spl_id': ['38def44d-751b-4f6c-9f00-b2bcf6988821'], 'spl_set_id': ['c4de72a8-2a75-4984-ce90-e4870226dc12'], 'package_ndc': ['0409-3375-14', '0409-3375-04', '0409-1443-14', '0409-1443-04'], 'is_original_packager': [True], 'unii': ['IFY5PE3ZRW']}",Drugs,77288,"Hospira Inc., A Pfizer Company",275 N Field Dr,N/A,60045-2579,Voluntary: Firm initiated,Letter,"Nationwide, Canada and Singapore",D-0898-2017,"Levophed norepinephrine bitartrate, injection, USP, 4 mg /4 mL (1 mg/mL),Rx only,  Hospira, Inc. Lake Forest, IL --- NDC 0409-3375-04","(720503A): 43,200 vials, (720603A): 400 vials",GMP Deviation; A foreign stopper was observed during packaging of a lot of product.,2017-05-18,2017-06-09,2019-05-02,20170621,"720503A, 720603A (Canada only)",,II,720503.0,False,False,False,False,False,True,False,True,False,False,False,False,False,foreign_substance,unknown,injections,714.0,2017,5,295254,14,High
Terminated,Concord,NC,United States,Class III,{},Drugs,75215,Mckesson Packaging Services,7101 Weddington Rd NW,N/A,28027-3412,Voluntary: Firm initiated,Letter,"CO, IL, LA, OH",D-1527-2016,"Xanax (Alprazolam) USP, CIV, 0.5 mg tablets , 10 x 10 blister cards per carton, Rx Only, Manufactured by Sandoz  Inc., Princeton, NJ 08805, NDC  63739-669-10","3,492 unit cartons of 10 x 10 blister cards","Labeling: Missing Label-Primary packaging label (i.e. blister card) is blank and contains no product information (e.g. product name, strength, lot number, expiry).",2016-09-15,2016-09-27,2017-05-03,20161005,Lot #: 0111512; Exp. 08/17,,III,3492.0,True,False,False,False,False,False,True,False,True,False,False,False,False,labeling_error,blisters,tablets,230.0,2016,1,21810,5,Low
Terminated,Whitehouse Station,NJ,United States,Class III,{},Drugs,67344,Merck & Co Inc,1 Merck Dr,P.O. Box 100,08889-3400,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide and Puerto Rico,D-1312-2014,"Liptruzet (ezetimibe and atorvastin) tablets,10 mg/80 mg, a) 30 count blister    (NDC 66582-323-30), b) 90 count blister  (NDC 66582-323-54), Rx only, Merck Sharp & Dohme Corp., a subsidiary of Merck & Co., Inc, Whitehouse Station, NJ 08889","11,462 cartons","Defective Container; some of the outer laminate foil pouches allowed in air and moisture, which could potentially decrease the effectiveness or change the characteristics of the product.",2014-01-13,2014-05-06,2015-09-02,20140514,"a) Liptruzet 10/80mg 30 count, 346379, 350257, Exp.07/14; 353591, Exp. 06/15.   b) Liptruzet 10/80mg 90 count,  346383, 371072, Exp. 06/15.",,III,11462.0,False,False,False,False,True,False,False,False,False,False,False,False,False,moisture_ingress,blisters,tablets,597.0,2014,1,23530,7,Medium
Terminated,Baltimore,MD,United States,Class II,"{'application_number': ['ANDA065234'], 'brand_name': ['CEPHALEXIN'], 'generic_name': ['CEPHALEXIN'], 'manufacturer_name': ['Lupin Pharmaceuticals, Inc.'], 'product_ndc': ['68180-440', '68180-123', '68180-124', '68180-441'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['CEPHALEXIN'], 'rxcui': ['309110', '309113'], 'spl_id': ['c1f68e09-52db-4024-ac7b-e2fa4c9bda81'], 'spl_set_id': ['25ef498a-7a7e-4543-a544-b9d0e99f9cd9'], 'package_ndc': ['68180-123-01', '68180-123-02', '68180-124-01', '68180-124-02', '68180-440-01', '68180-440-02', '68180-441-01', '68180-441-02'], 'is_original_packager': [True], 'upc': ['0368180441021', '0368180440024'], 'unii': ['OBN7UDS42Y']}",Drugs,81908,Lupin Pharmaceuticals Inc.,111 S Calvert St Fl 21ST,N/A,21202-6174,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was distributed to 5 wholesalers, 2 drug chains and 1 supermarket who may have further distributed the product throughout the United States.",D-0423-2019,"Cephalexin for Oral Suspension USP 250mg/5 mL, Rx Only   Manufactured for: Lupin Pharmaceuticals, Inc., Baltimore, Maryland,  Manufactured by: Lupin Limited Mandideep 462 046 India ---  NDC 68180-441-01","14,400 bottles",CGMP Deviations; presence of extraneous material in the  was observed in area that is between the primary package that is heat sealed and secondary packaging (poly-woven bag) of sucrose (an excipient) used in the finished product.,2019-01-09,2019-01-31,2020-04-08,20190206,"lot F801282, Expiry June 2020",,II,14400.0,False,False,False,True,False,False,False,True,False,False,False,True,False,blister_seal,unknown,unknown,455.0,2019,5,238612,13,High
Terminated,Princeton,NJ,United States,Class II,{},Drugs,82617,"Dr. Reddy's Laboratories, Inc.",107 College Rd E,N/A,08540-6623,Voluntary: Firm initiated,Letter,Product was distributed to major distributors and retailers who may have further distribute the product throughout the United States.,D-1133-2019,"Divalproex Sodium Extended-Release Tablets, USP, 250 mg a) 100-count bottle (NDC 55111-0533-01), b) 500-count bottle (NDC 55111-0533-05), Rx only, Mfd. By: Dr. Reddy's Laboratories Limited, Bachupally, - 500 090 INDIA","33,958 bottles",cGMP deviations: Product was exposed above 50% relative humidity levels during packaging operations.,2019-04-11,2019-04-15,2020-06-25,20190424,"Lot #: a) C802629, Exp. 03/2020; C805680, Exp. 07/2020, C808821,Exp. 10/2020; b) C806561, Exp. 10/2020",,II,33958.0,False,False,False,False,True,False,False,True,False,False,False,False,False,moisture_ingress,bottles,tablets,441.0,2019,5,251031,11,High
Terminated,Princeton,NJ,United States,Class III,{},Drugs,78404,"Dr. Reddy's Laboratories, Inc.",107 College Rd E,N/A,08540-6623,Voluntary: Firm initiated,Letter,Nationwide,D-0072-2018,"Doan's Pain Relieving Cream with 4% Lidocaine Plus Menthol, (lidocaine 4%, menthol 1%), Net Wt. 2.75 oz. (77.3 g) Tube, Distributed by: Ducere Pharma, LLC New Hope, PA 18938 USA --- UPC 849648000023",23402 cases,Labeling: Incorrect or Missing Lot and/or Exp Date; lot number on the secondary packaging doesnt match the lot number printed on the bottle,2017-10-30,2017-11-07,2020-03-20,20171115,"lots #2462100R, Exp 11/2018; 2583800R, Exp 09/2018",,III,23402.0,True,False,False,False,False,False,False,False,False,False,False,True,False,packaging_defect,tubes,creams,872.0,2017,1,24564,5,Low
Terminated,Lake Zurich,IL,United States,Class III,"{'application_number': ['ANDA040388'], 'brand_name': ['HYDRALAZINE HYDROCHLORIDE'], 'generic_name': ['HYDRALAZINE HYDROCHLORIDE'], 'manufacturer_name': ['Fresenius Kabi USA, LLC'], 'product_ndc': ['63323-614'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRAMUSCULAR', 'INTRAVENOUS'], 'substance_name': ['HYDRALAZINE HYDROCHLORIDE'], 'rxcui': ['966571'], 'spl_id': ['5e30cfd3-9310-41a0-966e-dd22ff88379e'], 'spl_set_id': ['f34904dc-c945-4de4-8594-34e4f4ac1983'], 'package_ndc': ['63323-614-00', '63323-614-01'], 'is_original_packager': [True], 'upc': ['0363323614003'], 'unii': ['FD171B778Y']}",Drugs,71827,"Fresenius Kabi USA, LLC",3 Corporate Dr,N/A,60047-8930,Voluntary: Firm initiated,Letter,Nationwide,D-1327-2015,"Hydralazine Hydrochloride Injection, USP, 20 mg/mL, 1 mL fill, in a 2 mL; single dose vial. Manufactured by Fresenius Kabi USA 2020 N Ruby Street, Melrose Park, IL 60160-1112 for Fresenius Kabi USA, 3 Corporate Dr Lake Zurich, IL 60047-8930. NDC 63323-614-01","93,000 vials","Incorrect Expiration Date: The ""11/06"" expiration date printed on the tray (secondary packaging) is incorrect (it should be 11/2016)",2015-07-28,2015-08-12,2016-03-08,20150819,"Lot #: 6110593, Exp 11/2016",,III,93000.0,True,False,False,False,False,False,False,False,True,False,False,True,False,packaging_defect,vials,injections,224.0,2015,1,26561,5,Low
Terminated,Brookhaven,NY,United States,Class III,{},Drugs,92249,"Amneal Pharmaceuticals of New York, LLC",50 Horseblock Rd,N/A,11719-9509,Voluntary: Firm initiated,Letter,Nationwide in the USA and PR,D-0756-2023,"Methylprednisolone Acetate Injectable Suspension, USP 80 mg/mL, For Intramuscular, Intrasynovial and Soft Tissue Injection Only, Not for Intravenous Use, 1 mL Single Dose Vial, Manufactured by: Amneal Pharmaceuticals Pvt. Ltd. Parenteral Unit, Ahmedabad 382213, India, Amneal Pharamceuticals LLC, Bridgewater, NJ 08807, NDC 70121-1574-01.","69,239 vials",Labeling: Not Elsewhere Classified; A typographical error was observed in the NDC number on the preprinted Individual Folding Cartons (secondary packaging only). Incorrect NDC Number 70121-1573-1; Correct NDC Number 70121-1574-1.,2023-05-08,2023-05-19,2024-03-21,20230531,"Lot Numbers: AP220481, Exp 09/2024; AP220536A, Exp 10/2024",,III,69239.0,True,False,False,False,False,False,False,False,False,False,False,True,False,packaging_defect,vials,injections,318.0,2023,1,26134,5,Low
Terminated,Waltham,MA,United States,Class II,{},Drugs,67995,"Fresenius Medical Care Holdings, Inc.",920 Winter St,N/A,02451-1521,Voluntary: Firm initiated,Letter,PA,D-1343-2014,"phosLo (calcium acetate) GelCaps, 667 mg, 200-count bottle, Rx only, Manufactured for Fresenius Medical Care North America, Waltham, MA 02451, NDC 0781-2081-02","14,496 bottles",Cross Contamination with Other Products: Potential for contaminant on the cotton packaging inside the bottle.  Chemical analysis of the contaminant found on the cotton was identified as a formulation of 4% Trimipramine methanesulfonate - a tricyclic antidepressant..,2014-04-14,2014-05-21,2015-08-13,20140528,"Lot # 13064, 13065, 13066; Exp. 08/18",,II,14496.0,False,True,False,False,False,True,False,False,False,False,True,False,False,sterility_breach,bottles,creams,486.0,2014,5,238708,24,Critical
